"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Tanner Roark","- - -",".143","1","2.6 %","33.1 %",".171","12.9 %","63.3 %","23.8 %","-10","81.0 %","69.6 %","48.2 %","2.9 %","14.4 %","9.1 %","4.4 %","-3.56","-5.69","-3.54","-3.72","-5.93","36.7 %","60.1 %","49.6 %","47.9 %","80.3 %","69.5 %","31.2 %","42.4 %","26.5 %","8753"
"Edwin Jackson","- - -",".140","0","5.6 %","51.9 %",".189","13.6 %","63.6 %","22.7 %","-5","72.9 %","65.0 %","43.7 %","3.7 %","18.1 %","5.1 %","0.9 %","-1.56","-2.04","-4.95","-7.02","-2.60","32.0 %","59.1 %","46.5 %","53.1 %","70.6 %","65.0 %","26.1 %","69.6 %","4.4 %","1841"
"Jake Fraley","Mariners",".150","0","0.0 %","34.1 %",".171","11.5 %","30.8 %","57.7 %","-5","83.9 %","76.5 %","39.6 %","10.4 %","12.2 %","12.2 %","9.8 %","-0.93","-5.86","-5.63","-3.66","-9.55","23.8 %","78.6 %","51.8 %","42.1 %","84.9 %","75.3 %","42.3 %","34.6 %","23.1 %","19260"
"Jon Lester","Cubs",".121","3","5.5 %","35.3 %",".173","12.7 %","65.8 %","21.5 %","-10","81.9 %","71.9 %","49.0 %","4.0 %","9.5 %","6.4 %","5.6 %","-3.17","-6.31","-3.60","-3.51","-3.96","24.4 %","55.6 %","41.9 %","48.2 %","80.0 %","71.9 %","32.3 %","46.2 %","21.5 %","4930"
"Jesse Chavez","- - -",".182","0","0.0 %","64.3 %",".182","100.0 %","0.0 %","0.0 %","4","72.7 %","56.3 %","56.5 %","15.2 %","17.4 %","6.5 %","2.2 %","-1.30","-9.24","-6.36","-5.86","-17.23","31.6 %","37.0 %","34.8 %","16.7 %","80.0 %","56.3 %","0.0 %","40.0 %","60.0 %","5448"
"Raudy Read","Nationals",".182","0","0.0 %","36.4 %",".182","14.3 %","57.1 %","28.6 %","-13","68.0 %","51.1 %","25.3 %","3.6 %","28.9 %","14.5 %","7.2 %","-6.30","-6.43","-6.20","-1.84","10.70","46.8 %","69.4 %","56.6 %","27.3 %","72.0 %","51.1 %","50.0 %","42.9 %","7.1 %","15766"
"Chad Billingsley","Phillies",".077","1","0.0 %","35.7 %",".077","16.7 %","66.7 %","16.7 %","-9","88.9 %","66.7 %","44.4 %","","4.4 %","13.3 %","","-0.05","","-20.40","-1.86","","33.3 %","47.6 %","40.0 %","37.5 %","90.0 %","66.7 %","11.1 %","44.4 %","44.4 %","5842"
"Bryse Wilson","Braves",".182","0","0.0 %","54.5 %",".182","40.0 %","40.0 %","20.0 %","-9","80.0 %","68.8 %","55.6 %","","20.0 %","","","-3.73","","5.62","","","26.1 %","40.9 %","33.3 %","33.3 %","88.9 %","66.7 %","40.0 %","40.0 %","20.0 %","19990"
"Clayton Richard","- - -",".108","2","3.2 %","45.2 %",".159","20.7 %","50.0 %","29.3 %","-9","72.1 %","62.5 %","38.9 %","3.5 %","7.4 %","10.2 %","6.1 %","-3.16","-1.18","-4.87","-5.45","-5.12","41.2 %","54.6 %","48.5 %","41.6 %","76.3 %","62.8 %","40.3 %","35.1 %","24.7 %","3551"
"Brock Stewart","- - -",".158","0","0.0 %","55.0 %",".158","42.9 %","14.3 %","42.9 %","-6","66.7 %","58.5 %","63.9 %","","6.9 %","9.7 %","2.8 %","-1.70","","-4.35","-11.98","-12.75","50.0 %","61.9 %","56.9 %","33.3 %","73.1 %","58.5 %","22.2 %","33.3 %","44.4 %","16727"
"Logan Webb","Giants",".111","0","9.1 %","18.2 %",".200","40.0 %","60.0 %","0.0 %","-8","84.6 %","83.3 %","31.4 %","5.7 %","8.6 %","5.7 %","2.9 %","2.84","-10.08","-3.55","2.44","-23.90","33.3 %","60.0 %","48.6 %","80.0 %","83.3 %","82.4 %","37.5 %","12.5 %","50.0 %","17995"
"Sonny Gray","- - -",".143","0","2.8 %","33.8 %",".172","6.7 %","90.0 %","3.3 %","-13","88.2 %","73.9 %","50.6 %","7.1 %","10.0 %","7.1 %","3.7 %","-3.34","-8.19","-3.36","-6.28","-6.60","30.9 %","58.0 %","45.6 %","35.3 %","89.5 %","72.7 %","15.6 %","33.3 %","51.1 %","12768"
"Ubaldo Jimenez","Orioles",".176","0","0.0 %","47.1 %",".176","33.3 %","55.6 %","11.1 %","-9","61.1 %","60.0 %","50.0 %","","9.6 %","5.8 %","","-2.33","","-9.12","-10.56","","30.0 %","59.4 %","48.1 %","50.0 %","63.2 %","60.0 %","11.1 %","55.6 %","33.3 %","3374"
"J.A. Happ","- - -",".146","0","4.0 %","40.0 %",".186","41.2 %","35.3 %","23.5 %","-10","78.1 %","78.0 %","49.1 %","3.6 %","5.4 %","6.6 %","6.0 %","-2.85","-5.97","4.79","-3.75","0.97","22.5 %","45.8 %","35.9 %","68.8 %","79.6 %","76.7 %","25.0 %","46.4 %","28.6 %","7410"
"Miles Mikolas","Cardinals",".139","2","1.5 %","45.1 %",".152","22.0 %","50.8 %","27.1 %","-8","64.1 %","53.7 %","42.9 %","5.1 %","19.5 %","8.7 %","4.3 %","-3.46","1.34","-5.66","-8.30","-3.29","50.3 %","62.7 %","56.9 %","33.7 %","68.1 %","53.8 %","36.6 %","35.2 %","28.2 %","9803"
"Ryan Vogelsong","- - -",".109","1","2.9 %","38.2 %",".155","14.3 %","75.0 %","10.7 %","-8","83.3 %","75.5 %","47.9 %","8.8 %","12.5 %","4.6 %","4.6 %","-3.63","-1.88","-6.19","-8.19","-9.27","31.1 %","51.1 %","42.5 %","53.1 %","85.7 %","75.5 %","20.5 %","33.3 %","46.2 %","1011"
"Mike Leake","- - -",".126","2","3.3 %","40.3 %",".157","17.8 %","44.6 %","37.6 %","-12","73.8 %","62.6 %","39.2 %","7.7 %","17.5 %","8.5 %","6.7 %","-3.21","-4.12","-5.42","-1.73","-4.56","42.3 %","68.1 %","54.8 %","43.2 %","75.1 %","62.4 %","33.6 %","42.9 %","23.5 %","10130"
"Cody Ross","Athletics",".091","0","12.0 %","24.0 %",".200","37.5 %","43.8 %","18.8 %","-12","81.0 %","80.0 %","33.7 %","6.7 %","16.4 %","5.8 %","10.6 %","-0.85","-9.09","-2.45","-3.65","-4.92","21.7 %","69.0 %","48.1 %","80.0 %","80.0 %","80.0 %","50.0 %","43.8 %","6.3 %","1760"
"Cole Hamels","- - -",".142","1","1.5 %","35.4 %",".161","14.5 %","60.9 %","24.6 %","-14","77.4 %","67.7 %","43.8 %","5.7 %","6.4 %","8.6 %","9.5 %","-4.67","-0.68","-9.43","-1.42","-7.74","37.4 %","64.4 %","52.1 %","42.3 %","78.4 %","66.7 %","34.6 %","43.2 %","22.2 %","4972"
"Jaime Garcia","- - -",".134","1","3.7 %","32.4 %",".168","16.7 %","65.3 %","18.1 %","-12","77.1 %","70.7 %","35.9 %","2.3 %","7.4 %","10.5 %","8.6 %","-3.52","-0.74","-4.61","-3.47","-4.59","45.4 %","60.6 %","53.2 %","65.7 %","74.2 %","70.7 %","33.3 %","37.9 %","28.7 %","8137"
"Kenta Maeda","Dodgers",".153","1","0.5 %","19.4 %",".158","16.4 %","57.8 %","25.8 %","-10","88.5 %","80.4 %","48.6 %","7.1 %","14.5 %","5.6 %","4.6 %","-5.02","-8.83","-1.70","-1.89","-8.07","46.4 %","64.3 %","56.3 %","67.9 %","87.1 %","80.1 %","34.9 %","32.0 %","33.1 %","18498"
"Orlando Calixte","- - -",".135","0","5.2 %","27.6 %",".175","18.9 %","43.2 %","37.8 %","-12","81.2 %","71.0 %","31.8 %","4.0 %","28.4 %","12.4 %","4.0 %","-1.40","-1.46","-3.83","-4.28","2.75","34.0 %","66.3 %","49.8 %","48.6 %","81.5 %","70.0 %","28.2 %","48.7 %","23.1 %","11905"
"Eric Haase","Indians",".094","1","2.9 %","41.2 %",".147","5.6 %","55.6 %","38.9 %","-19","62.8 %","57.3 %","26.5 %","8.3 %","20.5 %","14.4 %","14.4 %","-3.48","-9.42","-4.30","-2.14","-8.46","42.2 %","70.6 %","56.8 %","51.9 %","60.4 %","57.3 %","38.9 %","33.3 %","27.8 %","14111"
"Chris Sale","- - -",".150","0","0.0 %","45.0 %",".150","10.0 %","70.0 %","20.0 %","-15","76.9 %","69.8 %","59.3 %","3.7 %","8.6 %","4.9 %","1.2 %","-4.50","-1.68","-8.85","-3.23","3.72","38.6 %","70.3 %","53.1 %","47.1 %","84.6 %","69.8 %","36.4 %","27.3 %","36.4 %","10603"
"Zach Eflin","Phillies",".152","1","0.0 %","53.7 %",".152","16.7 %","57.4 %","25.9 %","-18","67.8 %","54.5 %","48.7 %","4.1 %","13.0 %","11.6 %","4.3 %","-4.33","-1.48","-6.24","-6.12","-3.24","45.3 %","61.4 %","54.2 %","30.0 %","68.9 %","54.3 %","33.8 %","35.3 %","30.9 %","13774"
"Nick Kingham","- - -",".069","0","9.1 %","42.4 %",".182","0.0 %","78.6 %","21.4 %","-14","75.8 %","69.1 %","49.7 %","0.7 %","14.2 %","7.1 %","3.6 %","-4.24","-5.76","0.89","-6.02","-4.88","25.0 %","50.7 %","39.0 %","56.3 %","74.4 %","69.1 %","46.7 %","33.3 %","20.0 %","11694"
"Anthony Bemboom","- - -",".130","1","1.8 %","37.5 %",".145","12.5 %","37.5 %","50.0 %","-15","78.0 %","71.7 %","48.9 %","3.6 %","11.8 %","5.4 %","12.7 %","-5.61","-5.27","-3.64","-3.86","-3.83","34.9 %","60.7 %","48.0 %","55.3 %","79.4 %","70.8 %","35.3 %","35.3 %","29.4 %","13854"
"Junior Guerra","- - -",".146","0","0.0 %","30.8 %",".146","15.8 %","52.6 %","31.6 %","-15","88.5 %","71.6 %","48.5 %","3.3 %","15.0 %","10.3 %","1.3 %","-2.94","-6.16","-7.98","-8.06","-4.52","54.7 %","69.8 %","62.8 %","46.1 %","89.4 %","72.0 %","31.9 %","37.5 %","30.6 %","5702"
"Robbie Ray","Diamondbacks",".143","1","1.5 %","44.1 %",".157","15.6 %","67.9 %","16.5 %","-21","67.9 %","61.5 %","47.8 %","2.0 %","9.1 %","9.9 %","4.7 %","-4.00","-4.61","-4.69","-6.38","-4.59","39.2 %","56.1 %","48.7 %","49.7 %","67.9 %","61.5 %","29.6 %","45.8 %","24.7 %","11486"
"Rafael Bautista","Nationals",".129","0","6.1 %","18.2 %",".182","16.0 %","36.0 %","48.0 %","-17","84.6 %","79.7 %","36.8 %","","20.2 %","11.4 %","14.0 %","-7.60","","-2.15","-4.91","2.60","39.6 %","60.6 %","51.8 %","57.9 %","90.0 %","79.7 %","16.0 %","52.0 %","32.0 %","15769"
"Hector Santiago","- - -",".167","0","0.0 %","50.0 %",".167","16.7 %","50.0 %","33.3 %","-10","75.0 %","66.7 %","42.5 %","","","7.5 %","7.5 %","-13.85","","","-3.88","-8.53","10.5 %","71.4 %","42.5 %","0.0 %","73.3 %","64.7 %","16.7 %","33.3 %","50.0 %","4026"
"Justin Verlander","- - -",".167","0","0.0 %","50.0 %",".167","11.1 %","55.6 %","33.3 %","-17","81.8 %","68.8 %","68.9 %","3.3 %","11.5 %","4.9 %","","-4.51","-7.70","-0.34","-9.13","","41.7 %","59.5 %","52.5 %","30.0 %","86.4 %","68.8 %","55.6 %","22.2 %","22.2 %","8700"
"Walker Buehler","Dodgers",".118","1","5.3 %","47.8 %",".167","13.0 %","71.7 %","15.2 %","-14","68.4 %","63.1 %","53.3 %","5.9 %","12.1 %","10.2 %","2.1 %","-2.67","-1.97","-4.87","-3.44","-4.28","18.4 %","53.7 %","38.7 %","35.1 %","67.8 %","61.2 %","18.9 %","37.7 %","43.4 %","19374"
"Kean Wong","- - -",".167","0","0.0 %","33.3 %",".167","18.2 %","63.6 %","18.2 %","-13","80.0 %","79.5 %","39.3 %","13.1 %","17.9 %","2.4 %","13.1 %","-4.50","2.61","0.06","1.15","-3.14","26.7 %","69.2 %","46.4 %","75.0 %","81.5 %","79.5 %","58.3 %","8.3 %","33.3 %","15994"
"Tim Adleman","Reds",".140","0","0.0 %","38.2 %",".140","23.1 %","57.7 %","19.2 %","-23","76.3 %","67.1 %","51.5 %","2.5 %","7.6 %","11.1 %","5.6 %","-3.79","9.58","5.00","-8.42","-10.22","29.4 %","50.4 %","41.4 %","48.0 %","75.4 %","67.1 %","17.7 %","47.1 %","35.3 %","10968"
"Julio Teheran","Braves",".142","1","1.6 %","23.5 %",".160","16.9 %","55.4 %","27.7 %","-20","87.8 %","79.3 %","44.6 %","3.8 %","14.6 %","9.5 %","3.2 %","-4.38","-4.77","-3.17","-2.59","-7.92","34.2 %","59.3 %","47.6 %","60.2 %","88.1 %","78.7 %","27.7 %","47.2 %","25.1 %","6797"
"Adam Conley","Marlins",".143","0","2.9 %","43.1 %",".170","20.5 %","69.2 %","10.3 %","-15","76.2 %","69.9 %","46.8 %","2.8 %","7.0 %","11.2 %","6.4 %","-3.80","7.25","-6.43","-6.07","-5.32","30.6 %","56.4 %","44.8 %","51.0 %","77.5 %","69.4 %","23.6 %","40.0 %","36.4 %","14457"
"James Shields","- - -",".147","0","1.0 %","41.3 %",".156","19.6 %","51.0 %","29.4 %","-16","73.1 %","64.0 %","45.7 %","5.0 %","15.9 %","10.7 %","3.4 %","-4.12","-4.05","-0.97","-4.24","-3.91","34.6 %","54.3 %","46.0 %","42.9 %","72.5 %","63.1 %","36.7 %","43.3 %","20.0 %","7059"
"Alex Mejia","Cardinals",".109","1","4.1 %","26.5 %",".146","12.1 %","63.6 %","24.2 %","-18","86.0 %","74.7 %","37.1 %","4.1 %","23.4 %","8.6 %","6.6 %","-0.89","-1.67","-5.87","-5.67","-4.70","33.3 %","66.3 %","48.2 %","52.8 %","88.1 %","74.7 %","32.4 %","44.1 %","23.5 %","13877"
"Cedric Hunter","Phillies",".088","1","5.6 %","16.7 %",".139","7.4 %","44.4 %","48.1 %","-21","93.9 %","87.0 %","42.1 %","0.8 %","13.5 %","7.1 %","12.7 %","-1.80","-21.25","-3.15","-0.02","-6.46","38.7 %","70.3 %","54.8 %","70.8 %","95.6 %","87.0 %","32.1 %","35.7 %","32.1 %","2833"
"Sean Manaea","Athletics",".100","0","8.3 %","25.0 %",".182","0.0 %","100.0 %","0.0 %","-13","88.9 %","90.5 %","61.1 %","5.6 %","13.0 %","5.6 %","5.6 %","-1.04","-10.43","-8.63","2.36","-4.00","9.1 %","59.4 %","38.9 %","100.0 %","89.5 %","90.5 %","0.0 %","50.0 %","50.0 %","15873"
"Juniel Querecuto","Rays",".091","0","0.0 %","54.5 %",".091","0.0 %","40.0 %","60.0 %","-20","90.9 %","73.9 %","28.3 %","4.4 %","15.2 %","4.4 %","21.7 %","-6.31","-0.76","-4.59","-10.35","-5.59","30.8 %","75.0 %","50.0 %","25.0 %","100.0 %","73.9 %","40.0 %","40.0 %","20.0 %","12140"
"Trevor Bauer","- - -",".111","0","7.3 %","48.8 %",".179","13.3 %","80.0 %","6.7 %","-20","86.1 %","70.4 %","56.8 %","4.5 %","9.0 %","5.2 %","1.9 %","-2.43","-4.65","-4.71","-8.04","-15.42","23.9 %","42.1 %","34.2 %","31.3 %","86.5 %","69.8 %","16.7 %","44.4 %","38.9 %","12703"
"Jordan Zimmermann","- - -",".156","0","0.0 %","29.8 %",".156","24.5 %","59.2 %","16.3 %","-20","82.5 %","74.8 %","59.4 %","4.4 %","6.7 %","6.7 %","1.3 %","-3.67","-1.71","-6.79","-3.46","-2.66","24.4 %","52.6 %","41.6 %","60.0 %","79.2 %","74.8 %","35.6 %","40.7 %","23.7 %","4505"
"James Jones","Mariners",".103","0","6.5 %","41.9 %",".161","0.0 %","66.7 %","33.3 %","-18","80.0 %","69.4 %","40.1 %","6.3 %","14.1 %","9.2 %","11.3 %","-4.03","-6.09","-2.43","-3.51","-0.73","31.8 %","57.4 %","41.6 %","57.1 %","80.7 %","69.5 %","12.5 %","75.0 %","12.5 %","9767"
"Ervin Santana","- - -",".133","0","0.0 %","37.5 %",".133","0.0 %","83.3 %","16.7 %","-23","76.5 %","60.0 %","46.5 %","7.0 %","20.9 %","","","1.97","-11.16","-7.18","","","42.1 %","70.8 %","58.1 %","12.5 %","82.4 %","60.0 %","20.0 %","30.0 %","50.0 %","3200"
"Wily Peralta","- - -",".110","1","4.3 %","36.6 %",".149","20.5 %","36.4 %","43.2 %","-26","75.7 %","66.9 %","44.8 %","3.5 %","21.6 %","9.7 %","3.5 %","-2.31","-3.10","-4.72","-9.26","-9.62","31.3 %","63.5 %","47.3 %","42.0 %","79.2 %","66.9 %","27.3 %","41.8 %","30.9 %","7738"
"Kyle Freeland","Rockies",".114","1","3.8 %","53.8 %",".151","11.6 %","69.8 %","18.6 %","-37","65.1 %","55.3 %","46.5 %","4.0 %","9.8 %","10.4 %","3.9 %","-3.65","-5.64","-3.62","-6.37","2.42","35.3 %","55.3 %","46.0 %","42.6 %","62.5 %","55.3 %","38.8 %","37.3 %","23.9 %","16256"
"Ian Kennedy","- - -",".120","0","1.8 %","43.9 %",".137","17.4 %","69.6 %","13.0 %","-20","76.8 %","73.4 %","51.5 %","3.1 %","4.8 %","11.4 %","1.8 %","-3.30","-10.47","-2.50","-4.84","-6.65","24.7 %","51.4 %","41.1 %","68.2 %","75.0 %","73.4 %","32.3 %","38.7 %","29.0 %","6986"
"John Lackey","- - -",".112","0","4.5 %","39.0 %",".155","19.4 %","58.2 %","22.4 %","-24","81.7 %","69.4 %","44.5 %","4.4 %","12.4 %","7.4 %","2.2 %","-3.46","-4.06","-7.17","-6.40","-9.80","34.5 %","55.4 %","46.1 %","45.3 %","80.5 %","68.7 %","23.9 %","39.8 %","36.3 %","1507"
"Zach Davies","Brewers",".116","0","4.1 %","33.5 %",".158","15.7 %","52.9 %","31.4 %","-26","83.3 %","78.9 %","53.2 %","3.7 %","8.9 %","7.9 %","3.8 %","-4.24","0.43","-6.22","-4.30","0.57","21.4 %","52.0 %","39.9 %","59.7 %","84.3 %","79.1 %","33.1 %","32.4 %","34.6 %","13183"
"Anthony DeSclafani","Reds",".133","1","1.9 %","51.4 %",".149","20.7 %","61.0 %","18.3 %","-26","70.0 %","58.5 %","43.2 %","6.4 %","12.0 %","9.8 %","1.5 %","-2.88","-3.67","-8.00","-5.08","-2.98","33.9 %","56.3 %","46.7 %","29.5 %","72.1 %","58.9 %","29.6 %","40.8 %","29.6 %","13050"
"Shelby Miller","- - -",".071","0","7.4 %","45.1 %",".156","11.9 %","47.6 %","40.5 %","-29","76.6 %","66.9 %","45.7 %","6.7 %","9.8 %","7.9 %","6.5 %","-3.18","-2.63","-2.33","-5.35","-3.55","25.7 %","47.2 %","37.8 %","44.4 %","74.8 %","65.8 %","24.6 %","40.4 %","35.1 %","10197"
"Tyler Ladendorf","Athletics",".123","0","2.9 %","22.1 %",".149","17.0 %","42.6 %","40.4 %","-25","92.5 %","81.0 %","32.0 %","3.7 %","12.9 %","11.2 %","11.6 %","-2.96","-7.88","-5.59","-1.40","-4.10","28.1 %","57.5 %","43.6 %","53.1 %","93.2 %","81.0 %","35.3 %","41.2 %","23.5 %","3211"
"Nevin Ashley","Brewers",".100","0","0.0 %","38.1 %",".143","8.3 %","83.3 %","8.3 %","-27","79.2 %","68.4 %","45.9 %","","17.7 %","3.5 %","3.5 %","0.43","","-5.46","-12.79","-0.29","31.9 %","60.5 %","44.7 %","46.7 %","82.6 %","68.4 %","66.7 %","25.0 %","8.3 %","3274"
"Jeff Samardzija","- - -",".126","1","0.5 %","43.9 %",".130","21.9 %","55.2 %","22.9 %","-23","69.7 %","58.0 %","44.4 %","3.0 %","19.7 %","7.4 %","5.2 %","-3.79","-6.78","-7.37","-4.37","-4.98","46.1 %","66.3 %","56.0 %","41.8 %","69.6 %","57.9 %","36.0 %","43.9 %","20.2 %","3254"
"Bronson Arroyo","Reds",".154","0","0.0 %","34.5 %",".154","33.3 %","26.7 %","40.0 %","-29","81.0 %","71.4 %","44.6 %","4.8 %","9.6 %","7.2 %","","-3.98","-8.48","-8.58","-11.26","","37.8 %","47.8 %","43.4 %","42.9 %","90.9 %","72.2 %","26.3 %","47.4 %","26.3 %","978"
"Mike Montgomery","- - -",".125","1","1.2 %","47.1 %",".136","23.1 %","69.2 %","7.7 %","-24","75.5 %","63.3 %","44.1 %","4.7 %","14.5 %","9.1 %","5.7 %","-4.01","-4.30","-2.95","-5.29","-4.34","43.1 %","64.1 %","54.9 %","51.8 %","71.0 %","64.4 %","29.6 %","45.5 %","25.0 %","4869"
"Sean O'Sullivan","- - -",".100","0","4.3 %","43.5 %",".143","11.1 %","44.4 %","44.4 %","-26","79.2 %","70.7 %","54.6 %","10.1 %","7.1 %","6.1 %","2.0 %","-4.05","-5.52","-12.24","-4.54","4.02","28.0 %","55.1 %","41.4 %","50.0 %","81.5 %","70.7 %","8.3 %","58.3 %","33.3 %","9137"
"Tyler Anderson","Rockies",".093","1","5.6 %","44.8 %",".157","14.9 %","48.9 %","36.2 %","-42","68.4 %","59.5 %","47.1 %","2.1 %","8.2 %","6.8 %","7.4 %","-5.86","-6.32","-4.88","-3.26","-5.65","34.9 %","54.0 %","45.5 %","45.0 %","67.5 %","59.8 %","44.3 %","35.7 %","20.0 %","12880"
"Chris Archer","- - -",".111","0","5.1 %","43.0 %",".158","11.8 %","76.5 %","11.8 %","-24","72.5 %","67.9 %","54.4 %","5.9 %","9.5 %","6.8 %","1.3 %","-3.63","-0.16","-5.77","-0.87","3.72","18.6 %","48.3 %","35.8 %","37.5 %","76.7 %","68.2 %","19.5 %","39.0 %","41.5 %","6345"
"Trevor Williams","Pirates",".107","0","5.5 %","33.1 %",".163","19.1 %","69.1 %","11.8 %","-27","87.7 %","81.2 %","49.5 %","3.9 %","10.0 %","8.3 %","2.2 %","-3.85","-4.08","-4.39","-4.66","-7.98","22.0 %","51.9 %","39.4 %","62.0 %","87.1 %","81.2 %","16.9 %","36.0 %","47.2 %","16977"
"Severino Gonzalez","Phillies",".091","0","7.7 %","30.8 %",".167","14.3 %","71.4 %","14.3 %","-26","73.3 %","66.7 %","47.6 %","","4.8 %","","","-7.52","","-4.39","","","18.8 %","57.7 %","42.9 %","66.7 %","66.7 %","66.7 %","0.0 %","50.0 %","50.0 %","14697"
"Marcus Stroman","- - -",".105","1","0.0 %","43.9 %",".105","22.2 %","55.6 %","22.2 %","-26","75.0 %","56.5 %","38.0 %","7.4 %","28.1 %","5.8 %","3.3 %","-1.25","-10.52","-5.31","-10.47","-4.51","65.6 %","86.7 %","76.0 %","27.5 %","78.9 %","56.5 %","30.4 %","47.8 %","21.7 %","13431"
"Robbie Erlin","Padres",".132","0","2.3 %","34.9 %",".154","34.8 %","47.8 %","17.4 %","-18","79.2 %","72.1 %","52.6 %","3.7 %","11.0 %","8.0 %","5.1 %","-4.94","-5.92","-9.18","0.58","0.73","25.5 %","55.6 %","45.3 %","41.7 %","80.0 %","72.6 %","29.6 %","37.0 %","33.3 %","10354"
"Matt Wisler","- - -",".128","0","2.9 %","30.4 %",".156","15.1 %","75.5 %","9.4 %","-27","83.5 %","74.8 %","45.0 %","2.1 %","13.2 %","5.0 %","5.3 %","-3.81","2.76","-6.94","-9.66","-1.09","35.2 %","52.8 %","44.4 %","63.2 %","81.9 %","74.8 %","22.1 %","32.4 %","45.6 %","12804"
"Edinson Volquez","- - -",".135","0","2.4 %","43.9 %",".154","5.0 %","70.0 %","25.0 %","-21","75.8 %","49.2 %","43.7 %","3.7 %","17.0 %","6.7 %","5.9 %","-1.10","6.21","-7.45","-6.98","-5.21","46.3 %","50.0 %","48.2 %","16.1 %","79.4 %","49.2 %","54.6 %","18.2 %","27.3 %","3990"
"Tyler Mahle","Reds",".100","0","3.6 %","37.3 %",".149","0.0 %","86.5 %","13.5 %","-32","80.4 %","71.4 %","43.6 %","6.8 %","12.2 %","11.8 %","3.4 %","-3.41","-6.39","-2.11","-4.66","-7.90","29.3 %","57.7 %","44.9 %","48.7 %","79.8 %","70.7 %","27.1 %","29.2 %","43.8 %","16358"
"Jerad Eickhoff","Phillies",".124","0","1.5 %","30.3 %",".138","15.6 %","63.6 %","20.8 %","-31","88.2 %","75.7 %","45.1 %","1.7 %","13.3 %","6.5 %","3.6 %","-4.13","-12.44","-3.40","-4.77","-3.11","40.5 %","67.4 %","54.5 %","54.3 %","87.6 %","75.7 %","43.3 %","30.0 %","26.7 %","12664"
"A.J. Burnett","Pirates",".119","1","0.0 %","38.5 %",".116","21.7 %","65.2 %","13.0 %","-27","80.4 %","71.1 %","47.5 %","0.6 %","16.2 %","7.8 %","2.2 %","-1.66","-16.81","-7.02","-6.88","-11.51","29.7 %","49.6 %","42.5 %","26.3 %","86.0 %","71.1 %","31.3 %","46.9 %","21.9 %","512"
"Tyler Beede","Giants",".100","0","6.7 %","55.6 %",".163","13.3 %","66.7 %","20.0 %","-25","67.4 %","56.1 %","40.1 %","3.5 %","17.4 %","13.4 %","2.3 %","-2.33","4.03","-8.79","-7.30","-0.01","23.5 %","54.0 %","39.0 %","30.0 %","68.1 %","56.7 %","41.2 %","35.3 %","23.5 %","16981"
"David Phelps","- - -",".130","0","0.0 %","37.0 %",".149","26.1 %","73.9 %","0.0 %","-27","82.5 %","74.7 %","44.7 %","2.8 %","14.0 %","5.6 %","5.6 %","-3.36","-7.19","-1.26","-8.03","-5.17","29.7 %","56.5 %","46.9 %","47.4 %","81.5 %","73.8 %","12.1 %","48.5 %","39.4 %","6316"
"Jorge De La Rosa","- - -",".115","0","3.1 %","33.3 %",".154","11.5 %","80.8 %","7.7 %","-48","80.2 %","72.0 %","48.3 %","3.3 %","11.1 %","5.8 %","6.6 %","-3.38","-6.37","-5.13","-6.10","-5.44","43.1 %","66.5 %","55.3 %","68.0 %","73.6 %","71.5 %","21.7 %","33.3 %","45.0 %","2047"
"Mike Gerber","- - -",".076","0","8.2 %","49.3 %",".151","19.4 %","41.9 %","38.7 %","-30","61.6 %","55.0 %","36.0 %","4.9 %","13.7 %","4.3 %","16.0 %","-1.46","-7.39","-5.91","-5.87","-6.17","31.6 %","65.6 %","48.7 %","39.6 %","62.4 %","55.0 %","29.0 %","45.2 %","25.8 %","16115"
"Alex Wood","- - -",".114","0","3.4 %","49.5 %",".148","13.3 %","71.7 %","15.0 %","-27","79.0 %","71.4 %","50.8 %","3.0 %","10.5 %","6.0 %","2.6 %","-4.55","-3.59","-4.01","-8.47","-3.42","20.1 %","40.9 %","31.5 %","50.8 %","80.0 %","71.6 %","27.8 %","37.1 %","35.1 %","13781"
"Yohan Flande","Rockies",".143","0","0.0 %","43.5 %",".143","25.0 %","75.0 %","0.0 %","-49","66.7 %","58.6 %","68.7 %","1.5 %","10.5 %","1.5 %","","-3.36","-3.67","-7.61","-5.68","","31.0 %","52.6 %","43.3 %","22.2 %","75.0 %","58.6 %","38.5 %","30.8 %","30.8 %","5057"
"Darin Mastroianni","Twins",".000","0","18.2 %","36.4 %",".182","0.0 %","80.0 %","20.0 %","-36","92.9 %","77.8 %","34.0 %","","14.9 %","12.8 %","10.6 %","-1.86","","-3.14","-0.43","-1.26","19.2 %","61.9 %","38.3 %","40.0 %","92.3 %","77.8 %","0.0 %","40.0 %","60.0 %","7316"
